WAREHOUSE DATA
PATTERN: ProductName|Category|MeasurableUnit|UnitDetails|PricePerUnit|Quantity|EntryDate|ExpirationDate|ExtraFields
Onions|VEGETABLES|BAG|4 kg|2.50|19|2025-05-18|2025-06-18|
Onions|VEGETABLES|BAG|4 kg|2.50|25|2025-05-12|2025-11-04|
Crackers|OTHERS|PACK|1 pack|2.00|272|2025-08-05|2025-12-23|
Potatoes|VEGETABLES|BAG|10 kg|15.00|22|2025-10-11|2026-01-18|
Oranges|FRUITS|BAG|2.5 kg|13.00|16|2025-10-11|2025-12-26|
Oranges|FRUITS|BAG|2.5 kg|13.00|21|2025-05-21|2025-08-16|
Onions|VEGETABLES|BAG|4 kg|2.50|18|2025-09-22|2025-11-29|
Potatoes|VEGETABLES|BAG|10 kg|15.00|18|2025-10-04|2025-11-04|
Oranges|FRUITS|BAG|2.5 kg|13.00|15|2025-06-29|2025-09-08|
Peaches|FRUITS|BOX|6 kg|30.00|42|2025-10-09|2025-11-21|
Oranges|FRUITS|BAG|2.5 kg|13.00|20|2025-09-15|2025-11-12|
Apples|FRUITS|KG|1 kg|6.00|84|2025-08-19|2025-12-16|
Potatoes|VEGETABLES|BAG|10 kg|15.00|15|2025-05-28|2025-07-03|
Oranges|FRUITS|BAG|2.5 kg|13.00|19|2025-10-01|2026-01-22|
Peaches|FRUITS|BOX|6 kg|30.00|33|2025-08-03|2025-10-02|
Apples|FRUITS|KG|1 kg|6.00|102|2025-08-16|2025-10-23|
Crackers|OTHERS|PACK|1 pack|2.00|391|2025-05-30|2025-10-13|
Potatoes|VEGETABLES|BAG|10 kg|15.00|15|2025-09-03|2026-02-27|
Apples|FRUITS|KG|1 kg|6.00|184|2025-07-10|2025-11-21|
Apples|FRUITS|KG|1 kg|6.00|66|2025-07-29|2025-11-04|
Peaches|FRUITS|BOX|6 kg|30.00|31|2025-07-31|2025-09-21|
Peaches|FRUITS|BOX|6 kg|30.00|35|2025-10-07|2025-12-16|
Peaches|FRUITS|BOX|6 kg|30.00|50|2025-10-06|2025-12-02|
Oranges|FRUITS|BAG|2.5 kg|13.00|21|2025-07-12|2025-09-05|
Oranges|FRUITS|BAG|2.5 kg|13.00|20|2025-05-06|2025-06-12|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-09-11|2025-10-22|
Apples|FRUITS|KG|1 kg|6.00|242|2025-09-21|2025-11-07|
Crackers|OTHERS|PACK|1 pack|2.00|127|2025-07-12|2025-08-25|
Oranges|FRUITS|BAG|2.5 kg|13.00|20|2025-05-13|2025-10-27|
Oranges|FRUITS|BAG|2.5 kg|13.00|18|2025-10-02|2026-03-23|
Crackers|OTHERS|PACK|1 pack|2.00|229|2025-05-13|2025-07-14|
Crackers|OTHERS|PACK|1 pack|2.00|478|2025-08-16|2025-10-23|
Peaches|FRUITS|BOX|6 kg|30.00|42|2025-10-12|2026-04-02|
Oranges|FRUITS|BAG|2.5 kg|13.00|21|2025-07-09|2025-12-22|
Crackers|OTHERS|PACK|1 pack|2.00|209|2025-08-08|2025-11-26|
Peaches|FRUITS|BOX|6 kg|30.00|51|2025-06-02|2025-07-18|
Peaches|FRUITS|BOX|6 kg|30.00|54|2025-10-22|2026-03-25|
Crackers|OTHERS|PACK|1 pack|2.00|411|2025-09-04|2025-12-17|
Apples|FRUITS|KG|1 kg|6.00|127|2025-05-29|2025-08-22|
Crackers|OTHERS|PACK|1 pack|2.00|300|2025-06-26|2025-07-30|
Peaches|FRUITS|BOX|6 kg|30.00|35|2025-08-07|2025-11-16|
Potatoes|VEGETABLES|BAG|10 kg|15.00|24|2025-07-27|2025-09-19|
Crackers|OTHERS|PACK|1 pack|2.00|129|2025-10-15|2025-12-22|
Oranges|FRUITS|BAG|2.5 kg|13.00|20|2025-09-22|2026-01-02|
Potatoes|VEGETABLES|BAG|10 kg|15.00|24|2025-10-13|2025-11-28|
Oranges|FRUITS|BAG|2.5 kg|13.00|23|2025-07-20|2025-11-17|
Peaches|FRUITS|BOX|6 kg|30.00|43|2025-08-03|2025-10-04|
Onions|VEGETABLES|BAG|4 kg|2.50|23|2025-07-31|2025-09-15|
Onions|VEGETABLES|BAG|4 kg|2.50|22|2025-07-31|2025-09-22|
Peaches|FRUITS|BOX|6 kg|30.00|32|2025-05-22|2025-10-02|
Crackers|OTHERS|PACK|1 pack|2.00|241|2025-05-16|2025-09-02|
Apples|FRUITS|KG|1 kg|6.00|222|2025-06-22|2025-12-01|
Oranges|FRUITS|BAG|2.5 kg|13.00|15|2025-06-06|2025-10-12|
Crackers|OTHERS|PACK|1 pack|2.00|327|2025-10-27|2026-03-25|
Crackers|OTHERS|PACK|1 pack|2.00|224|2025-05-22|2025-10-08|
Apples|FRUITS|KG|1 kg|6.00|75|2025-10-05|2026-01-03|
Peaches|FRUITS|BOX|6 kg|30.00|46|2025-08-23|2025-10-22|
Oranges|FRUITS|BAG|2.5 kg|13.00|24|2025-10-26|2026-04-03|
Potatoes|VEGETABLES|BAG|10 kg|15.00|25|2025-07-31|2025-11-15|
Peaches|FRUITS|BOX|6 kg|30.00|46|2025-06-30|2025-10-18|
Apples|FRUITS|KG|1 kg|6.00|80|2025-09-23|2025-11-20|
Oranges|FRUITS|BAG|2.5 kg|13.00|21|2025-06-05|2025-10-31|
Potatoes|VEGETABLES|BAG|10 kg|15.00|20|2025-06-16|2025-09-07|
Crackers|OTHERS|PACK|1 pack|2.00|276|2025-09-23|2025-10-24|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-05-13|2025-10-22|
Apples|FRUITS|KG|1 kg|6.00|196|2025-10-30|2026-03-24|
Apples|FRUITS|KG|1 kg|6.00|61|2025-10-07|2025-12-27|
Crackers|OTHERS|PACK|1 pack|2.00|115|2025-06-15|2025-09-24|
Apples|FRUITS|KG|1 kg|6.00|217|2025-10-18|2026-01-18|
Peaches|FRUITS|BOX|6 kg|30.00|39|2025-09-26|2025-12-09|
Onions|VEGETABLES|BAG|4 kg|2.50|19|2025-08-18|2026-01-13|
Onions|VEGETABLES|BAG|4 kg|2.50|20|2025-06-02|2025-08-12|
Apples|FRUITS|KG|1 kg|6.00|219|2025-05-26|2025-09-02|
Crackers|OTHERS|PACK|1 pack|2.00|115|2025-05-07|2025-10-07|
Apples|FRUITS|KG|1 kg|6.00|236|2025-06-12|2025-11-17|
Peaches|FRUITS|BOX|6 kg|30.00|49|2025-08-23|2025-11-25|
Peaches|FRUITS|BOX|6 kg|30.00|43|2025-06-30|2025-12-07|
Oranges|FRUITS|BAG|2.5 kg|13.00|17|2025-08-16|2026-01-07|
Peaches|FRUITS|BOX|6 kg|30.00|38|2025-08-11|2026-01-02|
Peaches|FRUITS|BOX|6 kg|30.00|34|2025-10-25|2026-01-28|
Apples|FRUITS|KG|1 kg|6.00|247|2025-09-15|2026-01-18|
Crackers|OTHERS|PACK|1 pack|2.00|129|2025-10-25|2025-12-24|
Oranges|FRUITS|BAG|2.5 kg|13.00|23|2025-07-21|2025-09-13|
Potatoes|VEGETABLES|BAG|10 kg|15.00|19|2025-07-11|2025-08-16|
Apples|FRUITS|KG|1 kg|6.00|195|2025-07-22|2025-10-28|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-10-23|2026-04-07|
Potatoes|VEGETABLES|BAG|10 kg|15.00|24|2025-06-26|2025-08-03|
Peaches|FRUITS|BOX|6 kg|30.00|38|2025-06-09|2025-08-18|
Crackers|OTHERS|PACK|1 pack|2.00|301|2025-09-02|2026-01-29|
Peaches|FRUITS|BOX|6 kg|30.00|32|2025-07-03|2025-11-16|
Crackers|OTHERS|PACK|1 pack|2.00|413|2025-08-05|2026-01-04|
Apples|FRUITS|KG|1 kg|6.00|170|2025-06-27|2025-08-15|
Oranges|FRUITS|BAG|2.5 kg|13.00|18|2025-07-10|2025-08-27|
Crackers|OTHERS|PACK|1 pack|2.00|180|2025-09-22|2026-01-18|
Apples|FRUITS|KG|1 kg|6.00|118|2025-05-13|2025-07-08|
Oranges|FRUITS|BAG|2.5 kg|13.00|15|2025-10-25|2025-12-17|
Apples|FRUITS|KG|1 kg|6.00|186|2025-08-30|2026-01-27|
Onions|VEGETABLES|BAG|4 kg|2.50|23|2025-09-14|2025-11-01|
Onions|VEGETABLES|BAG|4 kg|2.50|20|2025-10-15|2026-03-25|
Apples|FRUITS|KG|1 kg|6.00|93|2025-10-23|2026-02-08|
Oranges|FRUITS|BAG|2.5 kg|13.00|22|2025-06-28|2025-08-29|
Onions|VEGETABLES|BAG|4 kg|2.50|18|2025-07-07|2025-09-30|
Peaches|FRUITS|BOX|6 kg|30.00|58|2025-10-07|2025-11-24|
Peaches|FRUITS|BOX|6 kg|30.00|30|2025-10-04|2026-01-27|
Onions|VEGETABLES|BAG|4 kg|2.50|22|2025-08-06|2025-09-13|
Oranges|FRUITS|BAG|2.5 kg|13.00|16|2025-05-06|2025-09-04|
Apples|FRUITS|KG|1 kg|6.00|195|2025-06-27|2025-08-08|
Apples|FRUITS|KG|1 kg|6.00|95|2025-08-26|2026-02-18|
Onions|VEGETABLES|BAG|4 kg|2.50|17|2025-10-27|2026-01-22|
Crackers|OTHERS|PACK|1 pack|2.00|279|2025-09-29|2026-02-27|
Oranges|FRUITS|BAG|2.5 kg|13.00|24|2025-10-14|2026-02-06|
Onions|VEGETABLES|BAG|4 kg|2.50|18|2025-07-22|2025-12-03|
Onions|VEGETABLES|BAG|4 kg|2.50|24|2025-05-17|2025-09-07|
Onions|VEGETABLES|BAG|4 kg|2.50|21|2025-07-29|2025-09-02|
Onions|VEGETABLES|BAG|4 kg|2.50|19|2025-07-03|2025-08-19|
Oranges|FRUITS|BAG|2.5 kg|13.00|17|2025-05-05|2025-06-09|
Peaches|FRUITS|BOX|6 kg|30.00|59|2025-07-29|2025-09-16|
Peaches|FRUITS|BOX|6 kg|30.00|45|2025-08-29|2025-12-07|
Apples|FRUITS|KG|1 kg|6.00|140|2025-07-24|2025-11-20|
Apples|FRUITS|KG|1 kg|6.00|135|2025-06-24|2025-12-15|
Crackers|OTHERS|PACK|1 pack|2.00|461|2025-10-22|2026-01-13|
Apples|FRUITS|KG|1 kg|6.00|209|2025-05-13|2025-09-03|
Peaches|FRUITS|BOX|6 kg|30.00|37|2025-10-21|2026-03-28|
